no;tanggal_registrasi;judul;pengarang;penerbit;tahun_terbit;jenis_sumber;keterangan;nomor_induk;
152;07/08/2025;Lihat Rambutku;Asdiana;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024152;
153;07/08/2025;Memasang Bubu;Afita Martalia Andrinas Putri;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024153;
154;07/08/2025;Kemak dan jejak tradisi yang hilang;Mutiara;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024154;
155;07/08/2025;Memanggil matahari;Kim Dong Publishing House;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024155;
156;07/08/2025;Asamo, kamukah itu?;Canato Jimo;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024156;
157;07/08/2025;Narat Tahu Bagaimana Caranya;Komar Rien Komar Cheh;Badan Pengembangan dan Pembinaan Bahasa;2024;Hadiah;Perpustakaan Nasional;2024157;
158;07/08/2025;Penari Iraw;Birrul Asrori;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024158;
159;07/08/2025;Memasak apa?;Anjali Nayar;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024159;
160;07/08/2025;Lamang persaudaraan ;Laveta Pamela Rianas;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024160;
161;07/08/2025;Hari ulang tahun neema;Godfrey Mishomar;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024161;
162;07/08/2025;Sekantong jeruk;Dian Sukma Kuswardhani;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024162;
163;07/08/2025;Kue kimu;Lia Herliana;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024163;
164;07/08/2025;Tutu si kutu rambut;Layangmaya;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024164;
165;07/08/2025;Papipu dan benuh terbang;Zulfa Adiputri;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024165;
166;07/08/2025;Cipi si ikan cupang;Fatimah Zahra;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024166;
167;07/08/2025;Adik kecil dan kucing;Wulanita Kuswotanti;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024167;
168;07/08/2025;Bermain teka - teki;Sabir;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024168;
169;07/08/2025;Panen Rotan;Heppi;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024169;
170;07/08/2025;Peninggalan ayah;Elizabeth Laird, Lemu Wachile;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024170;
171;07/08/2025;Buah Misterius;Nora Irani;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024171;
172;07/08/2025;Uli ingin sendiri;Eugenia Gina;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024172;
173;07/08/2025;Di mana rumah Lutung;Gagas Setyabrata;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024173;
174;07/08/2025;Si boke rajin membawa berkah;Wenny Oktavia;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024174;
